"Election Date","Election Type","Ward/Precinct","Number Registered","Number of Ballots Cast","Percentage"
"Nov 08, 2016","State/Presidential","1-2","2,109","1,561","74"
"Nov 08, 2016","State/Presidential","1-3","2,249","1,685","75"
"Nov 08, 2016","State/Presidential","2-1","2,136","1,521","71"
"Nov 08, 2016","State/Presidential","2-2","1,056","511","48"
"Nov 08, 2016","State/Presidential","2-3","1,548","913","59"
"Nov 08, 2016","State/Presidential","3-1","2,191","1,666","76"
"Nov 08, 2016","State/Presidential","3-2","1,327","1,038","78"
"Nov 08, 2016","State/Presidential","3-2A","1,033","768","74"
"Nov 08, 2016","State/Presidential","3-3","2,277","1,539","68"
"Nov 08, 2016","State/Presidential","4-1","2,507","1,871","75"
"Nov 08, 2016","State/Presidential","4-2","2,657","1,971","74"
"Nov 08, 2016","State/Presidential","4-3","1,076","735","68"
"Nov 08, 2016","State/Presidential","5-1","2,300","1,704","74"
"Nov 08, 2016","State/Presidential","5-2","2,413","1,896","79"
"Nov 08, 2016","State/Presidential","5-3","1,829","1,416","77"
"Nov 08, 2016","State/Presidential","6-1","2,421","1,854","77"
"Nov 08, 2016","State/Presidential","6-2","2,467","1,834","74"
"Nov 08, 2016","State/Presidential","6-3","2,484","1,928","78"
"Nov 08, 2016","State/Presidential","7-1","2,374","1,879","79"
"Nov 08, 2016","State/Presidential","7-2","1,640","1,051","64"
"Nov 08, 2016","State/Presidential","7-3","1,290","633","49"
"Nov 08, 2016","State/Presidential","8-1","1,941","1,339","69"
"Nov 08, 2016","State/Presidential","8-2","1,860","1,364","73"
"Nov 08, 2016","State/Presidential","8-3","1,079","469","43"
"Nov 08, 2016","State/Presidential","9-1","2,520","2,191","87"
"Nov 08, 2016","State/Presidential","9-2","2,790","2,295","82"
"Nov 08, 2016","State/Presidential","9-3","2,293","1,872","82"
"Nov 08, 2016","State/Presidential","10-1","2,663","2,176","82"
"Nov 08, 2016","State/Presidential","10-2","2,570","2,124","83"
"Nov 08, 2016","State/Presidential","10-3","2,281","1,740","76"
"Nov 08, 2016","State/Presidential","11-1","2,549","1,825","72"
"Nov 08, 2016","State/Presidential","11-2","2,860","2,325","81"
"Nov 08, 2016","State/Presidential","1-1","2,284","1,758","77"
"Nov 08, 2016","State/Presidential","11-3","2,259","1,830","81"
"Sep 08, 2016","State Primary","1-1","2,116","432","20"
"Sep 08, 2016","State Primary","1-2","1,978","541","27"
"Sep 08, 2016","State Primary","1-3","2,093","618","30"
"Sep 08, 2016","State Primary","2-1","2,048","373","18"
"Sep 08, 2016","State Primary","2-2","902","20","2"
"Sep 08, 2016","State Primary","2-3","1,372","86","6"
"Sep 08, 2016","State Primary","3-1","2,020","542","27"
"Sep 08, 2016","State Primary","3-2","1,263","288","23"
"Sep 08, 2016","State Primary","3-2A","974","200","21"
"Sep 08, 2016","State Primary","3-3","2,147","404","19"
"Sep 08, 2016","State Primary","4-1","2,386","280","12"
"Sep 08, 2016","State Primary","4-2","2,520","321","13"
"Sep 08, 2016","State Primary","4-3","956","111","12"
"Sep 08, 2016","State Primary","5-1","2,171","250","12"
"Sep 08, 2016","State Primary","5-2","2,299","257","11"
"Sep 08, 2016","State Primary","5-3","1,711","171","10"
"Sep 08, 2016","State Primary","6-1","2,281","588","26"
"Sep 08, 2016","State Primary","6-2","2,269","264","12"
"Sep 08, 2016","State Primary","6-3","2,358","322","14"
"Sep 08, 2016","State Primary","7-1","2,243","323","14"
"Sep 08, 2016","State Primary","7-2","1,544","114","7"
"Sep 08, 2016","State Primary","7-3","1,185","65","5"
"Sep 08, 2016","State Primary","8-1","1,810","186","10"
"Sep 08, 2016","State Primary","8-2","1,778","199","11"
"Sep 08, 2016","State Primary","8-3","969","41","4"
"Sep 08, 2016","State Primary","9-1","2,468","653","26"
"Sep 08, 2016","State Primary","9-2","2,658","655","25"
"Sep 08, 2016","State Primary","9-3","2,248","472","21"
"Sep 08, 2016","State Primary","10-1","2,533","634","25"
"Sep 08, 2016","State Primary","10-2","2,451","677","28"
"Sep 08, 2016","State Primary","10-3","2,187","417","19"
"Sep 08, 2016","State Primary","11-1","2,370","220","9"
"Sep 08, 2016","State Primary","11-2","2,719","675","25"
"Sep 08, 2016","State Primary","11-3","2,140","517","24"
"May 10, 2016","Special State Election","2-2","919","3","0"
"May 10, 2016","Special State Election","2-3","1,350","5","0"
"May 10, 2016","Special State Election","4-1","2,382","20","1"
"May 10, 2016","Special State Election","4-3","940","28","3"
"May 10, 2016","Special State Election","5-1","2,154","34","2"
"May 10, 2016","Special State Election","5-2","2,303","41","2"
"May 10, 2016","Special State Election","5-3","1,680","16","1"
"Apr 12, 2016","Special State Primary","2-2","921","9","1"
"Apr 12, 2016","Special State Primary","2-3","1,348","53","4"
"Apr 12, 2016","Special State Primary","4-1","2,377","362","15"
"Apr 12, 2016","Special State Primary","4-3","937","91","10"
"Apr 12, 2016","Special State Primary","5-1","2,150","317","15"
"Apr 12, 2016","Special State Primary","5-2","2,297","427","19"
"Apr 12, 2016","Special State Primary","5-3","1,682","274","16"
"Mar 01, 2016","Presidential Primary","1-1","2,001","854","43"
"Mar 01, 2016","Presidential Primary","1-2","1,952","884","45"
"Mar 01, 2016","Presidential Primary","1-3","1,990","936","47"
"Mar 01, 2016","Presidential Primary","2-1","2,020","829","41"
"Mar 01, 2016","Presidential Primary","2-2","921","313","34"
"Mar 01, 2016","Presidential Primary","2-3","1,347","467","35"
"Mar 01, 2016","Presidential Primary","3-1","1,981","960","48"
"Mar 01, 2016","Presidential Primary","3-2","1,230","644","52"
"Mar 01, 2016","Presidential Primary","3-2A","974","456","47"
"Mar 01, 2016","Presidential Primary","3-3","2,147","943","44"
"Mar 01, 2016","Presidential Primary","4-1","2,365","1,174","50"
"Mar 01, 2016","Presidential Primary","4-2","2,460","1,212","49"
"Mar 01, 2016","Presidential Primary","4-3","934","439","47"
"Mar 01, 2016","Presidential Primary","5-1","2,110","1,035","49"
"Mar 01, 2016","Presidential Primary","5-2","2,278","1,172","51"
"Mar 01, 2016","Presidential Primary","5-3","1,663","876","53"
"Mar 01, 2016","Presidential Primary","6-1","2,281","1,201","53"
